----------------------
Number of qubits: 8, Hamming weight: 4
Qubit indices are labelled from the right
----------------------

ESP state vector in the qubit Fock space

00000000 (Hamming wt: 0): 0.0 + 0.0im
00000001 (Hamming wt: 1): 0.0 + 0.0im
00000010 (Hamming wt: 1): 0.0 + 0.0im
00000011 (Hamming wt: 2): 0.0 + 0.0im
00000100 (Hamming wt: 1): 0.0 + 0.0im
00000101 (Hamming wt: 2): 0.0 + 0.0im
00000110 (Hamming wt: 2): 0.0 + 0.0im
00000111 (Hamming wt: 3): 0.0 + 0.0im
00001000 (Hamming wt: 1): 0.0 + 0.0im
00001001 (Hamming wt: 2): 0.0 + 0.0im
00001010 (Hamming wt: 2): 0.0 + 0.0im
00001011 (Hamming wt: 3): 0.0 + 0.0im
00001100 (Hamming wt: 2): 0.0 + 0.0im
00001101 (Hamming wt: 3): 0.0 + 0.0im
00001110 (Hamming wt: 3): 0.0 + 0.0im
00001111 (Hamming wt: 4): -0.10591771854733023 - 0.014690391771539042im
00010000 (Hamming wt: 1): 0.0 + 0.0im
00010001 (Hamming wt: 2): 0.0 + 0.0im
00010010 (Hamming wt: 2): 0.0 + 0.0im
00010011 (Hamming wt: 3): 0.0 + 0.0im
00010100 (Hamming wt: 2): 0.0 + 0.0im
00010101 (Hamming wt: 3): 0.0 + 0.0im
00010110 (Hamming wt: 3): 0.0 + 0.0im
00010111 (Hamming wt: 4): -0.007962916030290382 - 0.09458117667225804im
00011000 (Hamming wt: 2): 0.0 + 0.0im
00011001 (Hamming wt: 3): 0.0 + 0.0im
00011010 (Hamming wt: 3): 0.0 + 0.0im
00011011 (Hamming wt: 4): -0.04352842004710319 - 0.2022413733465656im
00011100 (Hamming wt: 3): 0.0 + 0.0im
00011101 (Hamming wt: 4): -0.25224418762332596 - 0.3188804496415753im
00011110 (Hamming wt: 4): 0.002876992134848575 + 0.14108678218262752im
00011111 (Hamming wt: 5): 0.0 + 0.0im
00100000 (Hamming wt: 1): 0.0 + 0.0im
00100001 (Hamming wt: 2): 0.0 + 0.0im
00100010 (Hamming wt: 2): 0.0 + 0.0im
00100011 (Hamming wt: 3): 0.0 + 0.0im
00100100 (Hamming wt: 2): 0.0 + 0.0im
00100101 (Hamming wt: 3): 0.0 + 0.0im
00100110 (Hamming wt: 3): 0.0 + 0.0im
00100111 (Hamming wt: 4): -0.00607873046659844 + 0.01434970441425372im
00101000 (Hamming wt: 2): 0.0 + 0.0im
00101001 (Hamming wt: 3): 0.0 + 0.0im
00101010 (Hamming wt: 3): 0.0 + 0.0im
00101011 (Hamming wt: 4): -0.009147980839642467 + 0.03271112674361408im
00101100 (Hamming wt: 3): 0.0 + 0.0im
00101101 (Hamming wt: 4): 0.012250740682143145 + 0.06562316585505633im
00101110 (Hamming wt: 4): 0.010375331725112909 - 0.020716851433319243im
00101111 (Hamming wt: 5): 0.0 + 0.0im
00110000 (Hamming wt: 2): 0.0 + 0.0im
00110001 (Hamming wt: 3): 0.0 + 0.0im
00110010 (Hamming wt: 3): 0.0 + 0.0im
00110011 (Hamming wt: 4): -0.030110430160854025 - 0.001533424465973393im
00110100 (Hamming wt: 3): 0.0 + 0.0im
00110101 (Hamming wt: 4): -0.05442981538354461 + 0.02342229963249881im
00110110 (Hamming wt: 4): 0.019964444493505942 + 0.004938352436341278im
00110111 (Hamming wt: 5): 0.0 + 0.0im
00111000 (Hamming wt: 3): 0.0 + 0.0im
00111001 (Hamming wt: 4): -0.11114466550173445 + 0.06577594498179104im
00111010 (Hamming wt: 4): 0.04453127126775533 + 0.005120651315008336im
00111011 (Hamming wt: 5): 0.0 + 0.0im
00111100 (Hamming wt: 4): 0.08297334205690533 - 0.029609076353308117im
00111101 (Hamming wt: 5): 0.0 + 0.0im
00111110 (Hamming wt: 5): 0.0 + 0.0im
00111111 (Hamming wt: 6): 0.0 + 0.0im
01000000 (Hamming wt: 1): 0.0 + 0.0im
01000001 (Hamming wt: 2): 0.0 + 0.0im
01000010 (Hamming wt: 2): 0.0 + 0.0im
01000011 (Hamming wt: 3): 0.0 + 0.0im
01000100 (Hamming wt: 2): 0.0 + 0.0im
01000101 (Hamming wt: 3): 0.0 + 0.0im
01000110 (Hamming wt: 3): 0.0 + 0.0im
01000111 (Hamming wt: 4): 0.0651106273030439 - 0.007034607726284871im
01001000 (Hamming wt: 2): 0.0 + 0.0im
01001001 (Hamming wt: 3): 0.0 + 0.0im
01001010 (Hamming wt: 3): 0.0 + 0.0im
01001011 (Hamming wt: 4): 0.13879293789396327 - 0.03332222185361096im
01001100 (Hamming wt: 3): 0.0 + 0.0im
01001101 (Hamming wt: 4): 0.21584590838201584 - 0.17919224434384387im
01001110 (Hamming wt: 4): -0.09727229619355855 + 0.004284592540076956im
01001111 (Hamming wt: 5): 0.0 + 0.0im
01010000 (Hamming wt: 2): 0.0 + 0.0im
01010001 (Hamming wt: 3): 0.0 + 0.0im
01010010 (Hamming wt: 3): 0.0 + 0.0im
01010011 (Hamming wt: 4): 0.0559560061656577 + 0.11367164850065573im
01010100 (Hamming wt: 3): 0.0 + 0.0im
01010101 (Hamming wt: 4): 0.19730912442514215 + 0.15190582918928475im
01010110 (Hamming wt: 4): -0.0227048242470798 - 0.08338989678802541im
01010111 (Hamming wt: 5): 0.0 + 0.0im
01011000 (Hamming wt: 3): 0.0 + 0.0im
01011001 (Hamming wt: 4): 0.46878878172651933 + 0.27347951973517043im
01011010 (Hamming wt: 4): -0.07228241447644947 - 0.17394751787312393im
01011011 (Hamming wt: 5): 0.0 + 0.0im
01011100 (Hamming wt: 4): -0.27840116548638705 - 0.24403516377765802im
01011101 (Hamming wt: 5): 0.0 + 0.0im
01011110 (Hamming wt: 5): 0.0 + 0.0im
01011111 (Hamming wt: 6): 0.0 + 0.0im
01100000 (Hamming wt: 2): 0.0 + 0.0im
01100001 (Hamming wt: 3): 0.0 + 0.0im
01100010 (Hamming wt: 3): 0.0 + 0.0im
01100011 (Hamming wt: 4): 0.0005668485145805514 - 0.020794647918427726im
01100100 (Hamming wt: 3): 0.0 + 0.0im
01100101 (Hamming wt: 4): -0.017043645544162274 - 0.03716288986493972im
01100110 (Hamming wt: 4): -0.003080915201595107 + 0.013851633633463825im
01100111 (Hamming wt: 5): 0.0 + 0.0im
01101000 (Hamming wt: 3): 0.0 + 0.0im
01101001 (Hamming wt: 4): -0.04718305501704472 - 0.07559332499489553im
01101010 (Hamming wt: 4): -0.0028061565063500758 + 0.030800373753187664im
01101011 (Hamming wt: 5): 0.0 + 0.0im
01101100 (Hamming wt: 4): 0.021776512272602536 + 0.05675085509594552im
01101101 (Hamming wt: 5): 0.0 + 0.0im
01101110 (Hamming wt: 5): 0.0 + 0.0im
01101111 (Hamming wt: 6): 0.0 + 0.0im
01110000 (Hamming wt: 3): 0.0 + 0.0im
01110001 (Hamming wt: 4): 0.05624140853963432 - 0.05561657263687006im
01110010 (Hamming wt: 4): -0.0272175381205297 + 0.0035847402007512415im
01110011 (Hamming wt: 5): 0.0 + 0.0im
01110100 (Hamming wt: 4): -0.044887272768247666 + 0.02993797557526988im
01110101 (Hamming wt: 5): 0.0 + 0.0im
01110110 (Hamming wt: 5): 0.0 + 0.0im
01110111 (Hamming wt: 6): 0.0 + 0.0im
01111000 (Hamming wt: 4): -0.08870364814017609 + 0.07720595064033431im
01111001 (Hamming wt: 5): 0.0 + 0.0im
01111010 (Hamming wt: 5): 0.0 + 0.0im
01111011 (Hamming wt: 6): 0.0 + 0.0im
01111100 (Hamming wt: 5): 0.0 + 0.0im
01111101 (Hamming wt: 6): 0.0 + 0.0im
01111110 (Hamming wt: 6): 0.0 + 0.0im
01111111 (Hamming wt: 7): 0.0 + 0.0im
10000000 (Hamming wt: 1): 0.0 + 0.0im
10000001 (Hamming wt: 2): 0.0 + 0.0im
10000010 (Hamming wt: 2): 0.0 + 0.0im
10000011 (Hamming wt: 3): 0.0 + 0.0im
10000100 (Hamming wt: 2): 0.0 + 0.0im
10000101 (Hamming wt: 3): 0.0 + 0.0im
10000110 (Hamming wt: 3): 0.0 + 0.0im
10000111 (Hamming wt: 4): -0.004115028811382972 - 0.0035816419950747353im
